FECHA PRECIP  EVAP   TMAX   TMIN
13/06/1990  0     Nulo    28     20 
14/06/1990  0     Nulo    27     20 
15/06/1990  0     Nulo    28     19 
16/06/1990  0     Nulo    28     20 
17/06/1990  0     Nulo    28     20 
18/06/1990  0     Nulo    28     20 
19/06/1990  0     Nulo    29     20 
20/06/1990  0     Nulo    29     21 
21/06/1990  2     Nulo    30     20 
22/06/1990  0.1   Nulo    28     21 
23/06/1990  0     Nulo    27     19 
24/06/1990  0     Nulo    28     17 
25/06/1990  0     Nulo    29     20 
26/06/1990  0     Nulo    28     21 
27/06/1990  0     Nulo    29     20 
28/06/1990  0     Nulo    29     20 
29/06/1990  1.4   Nulo    30     21 
30/06/1990  5.5   Nulo    29     22 
01/07/1990  0     Nulo    24     20 
02/07/1990  0     Nulo    26     15 
03/07/1990  0.5   Nulo    26     17 
04/07/1990  2.6   Nulo    28     17 
05/07/1990  0.5   Nulo    26     19 
06/07/1990  0     Nulo    27     18 
07/07/1990  1.1   Nulo    27     19 
08/07/1990  0.8   Nulo    28     19 
09/07/1990  0.3   Nulo    26     20 
10/07/1990  4.4   Nulo    27     18 
11/07/1990  1     Nulo    25     19 
12/07/1990  4     Nulo    26     16 
13/07/1990  0.2   Nulo    26     18 
14/07/1990  1.6   Nulo    24     17 
15/07/1990  0     Nulo    25     16 
16/07/1990  2.5   Nulo    25     16 
17/07/1990  0     Nulo    25     17 
18/07/1990  2.5   Nulo    26     16 
19/07/1990  0.2   Nulo    26     19 
20/07/1990  1.5   Nulo    26     18 
21/07/1990  1.5   Nulo    26     18 
22/07/1990  3.7   Nulo    26     18 
23/07/1990  1     Nulo    26     18 
24/07/1990  0     Nulo    25     18 
25/07/1990  0.3   Nulo    25     17 
26/07/1990  2.5   Nulo    26     16 
27/07/1990  1.7   Nulo    26     18 
28/07/1990  6.2   Nulo    26     17 
29/07/1990  0.3   Nulo    23     18 
30/07/1990  0     Nulo    25     16 
31/07/1990  0     Nulo    25     16 
01/09/1990  1.4   Nulo    26     17 
02/09/1990  0.6   Nulo    23     17 
03/09/1990  2.8   Nulo    25     14 
04/09/1990  2     Nulo    24     16 
05/09/1990  0.8   Nulo    24     16 
06/09/1990  0     Nulo    23     15 
07/09/1990  0     Nulo    23     14 
08/09/1990  0     Nulo    25     15 
09/09/1990  0     Nulo    23     17 
10/09/1990  0     Nulo    24     15 
11/09/1990  2.2   Nulo    26     16 
12/09/1990  3.3   Nulo    24     18 
13/09/1990  0.9   Nulo    22     15 
14/09/1990  0.1   Nulo    23     14 
15/09/1990  0     Nulo    21     14 
16/09/1990  0     Nulo    23     13 
17/09/1990  0     Nulo    24     17 
18/09/1990  0     Nulo    24     15 
19/09/1990  0     Nulo    23     15 
20/09/1990  0     Nulo    23     14 
21/09/1990  0.2   Nulo    24     14 
22/09/1990  0     Nulo    22     16 
23/09/1990  0.2   Nulo    23     14 
24/09/1990  0     Nulo    23     13 
25/09/1990  0     Nulo    21     14 
26/09/1990  0     Nulo    21     11 
27/09/1990  0     Nulo    19     11 
28/09/1990  0     Nulo    19     10 
29/09/1990  3.6   Nulo    20     11 
30/09/1990  0     Nulo    21     12 
